Wed Dec 23 10:53:59 Log file reset
Wed Dec 23 10:53:59 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\DEFAULT.MAX
Wed Dec 23 10:54:00 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Wed Dec 23 10:54:00 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Wed Dec 23 10:54:21 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Wed Dec 23 10:55:29 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Wed Dec 23 10:55:29 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT_PLUS\data\template.imp
Wed Dec 23 10:55:30 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\C0603.LLB
Wed Dec 23 10:55:31 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\R0603.LLB
Wed Dec 23 10:55:31 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\L0603.LLB
Wed Dec 23 10:55:31 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SRV054TCT.LLB
Wed Dec 23 10:55:32 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\TMC4671.LLB
Wed Dec 23 10:55:32 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\RTMI HEADER.LLB
Wed Dec 23 10:55:32 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SMD OSCILLATOR.LLB
Wed Dec 23 10:55:32 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SN74LVC3G17DCUR.LLB
Wed Dec 23 10:55:33 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\ATMEGA328.LLB
Wed Dec 23 10:55:33 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\IRF640.LLB
Wed Dec 23 10:55:33 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\LM5109BMA_SOIC8.LLB
Wed Dec 23 10:55:34 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\L7812CD2TTR.LLB
Wed Dec 23 10:55:34 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\BZX384C13.LLB
Wed Dec 23 10:55:34 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\B340AE3.LLB
Wed Dec 23 10:55:34 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\AMS1117.LLB
Wed Dec 23 10:55:35 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\MINI USAB TYPE AB.LLB
Wed Dec 23 10:55:35 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\SSD 0_28INCH.LLB
Wed Dec 23 10:55:35 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\2STR2230.LLB
Wed Dec 23 10:55:36 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\XNF_CAPACITOR.LLB
Wed Dec 23 10:55:37 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\100MF_CAPACITOR.LLB
Wed Dec 23 10:55:37 Loaded file C:\PROGRAM FILES\ORCAD\LAYOUT\LIBRARY\THU VIEN LAYOUT 25-12-2006.LLB
